"symbol"	"Chr"	"start"	"end"	"id"
"460"	"CREG1"	"1"	167541013	167553819	8804
"593"	"MPZL1"	"1"	167721949	167791919	9019
"730"	"MPC2"	"1"	167916674	167937069	25874
"954"	"ATP1B1"	"1"	169106708	169132722	481
"15"	"SCYL3"	"1"	169853075	169893959	57147
"471"	"FAM20B"	"1"	179026123	179076574	9917
"261"	"PTGS2"	"1"	186671811	186680427	5743
"263"	"PLA2G4A"	"1"	186828899	186988981	5321
"13"	"RGS2"	"1"	192809038	192812277	5997
"520"	"PTPRC"	"1"	198638967	198757476	5788
"641"	"KIF14"	"1"	200551496	200618838	9928
"236"	"CAMSAP2"	"1"	200739557	200860707	23271
"252"	"CSRP1"	"1"	201483529	201507259	1465
"64"	"KDM5B"	"1"	202725184	202809470	10765
"755"	"PIK3C2B"	"1"	204422629	204490346	5287
"207"	"IKBKE"	"1"	206470242	206496890	9641
"22"	"DYRK3"	"1"	206635535	206649197	8444
"812"	"MAPKAPK2"	"1"	206685019	206734285	9261
"657"	"LPGAT1"	"1"	211743456	211830238	9926
"122"	"PPP2R5A"	"1"	212301805	212361863	5525
"84"	"NENF"	"1"	212432886	212446379	29937
"128"	"EPRS"	"1"	219968599	220046658	2058
"773"	"IARS2"	"1"	220094112	220148041	55699
"661"	"TP53BP2"	"1"	223779892	223845972	7159
"698"	"NVL"	"1"	224227333	224330189	4931
"837"	"LBR"	"1"	225401501	225428113	3930
"164"	"ACBD3"	"1"	226144678	226186722	64746
"893"	"PARP1"	"1"	226360690	226408100	142
"738"	"COQ8A"	"1"	226940236	226987545	56997
"399"	"RAB4A"	"1"	229271061	229305893	5867
"533"	"NUP133"	"1"	229441296	229508341	55746
"618"	"COG2"	"1"	230642455	230693985	22796
"587"	"KCNK1"	"1"	233614003	233672512	3775
"743"	"TARBP1"	"1"	234391312	234479103	6894
"33"	"RBM34"	"1"	235131182	235161616	23029
"786"	"ARID4B"	"1"	235166894	235328217	51742
"950"	"LGALS8"	"1"	236523726	236552979	3964
"156"	"HEATR1"	"1"	236549004	236604541	55127
"449"	"SCCPDH"	"1"	246724075	246768138	51097
"936"	"NET1"	"10"	5412550	5459056	10276
"78"	"PRKCQ"	"10"	6427142	6580301	5588
"682"	"GATA3"	"10"	8054703	8075201	2625
"949"	"USP6NL"	"10"	11460509	11611789	9712
"843"	"RPP38"	"10"	15097179	15104257	10557
"869"	"RSU1"	"10"	16590617	16817454	6251
"43"	"YME1L1"	"10"	27110110	27154420	10730
"898"	"BAMBI"	"10"	28677494	28682939	25805
"2"	"CISD1"	"10"	58269101	58289259	55847
"608"	"CDK1"	"10"	60778330	60794852	983
"98"	"ARID5B"	"10"	61901253	62096948	84159
"106"	"ADO"	"10"	62804755	62808479	84890
"529"	"KIF1BP"	"10"	68988720	69016983	26128
"310"	"SUPV3L1"	"10"	69180203	69209098	6832
"303"	"HK1"	"10"	69318180	69401881	3098
"857"	"PCBD1"	"10"	70883507	70888254	5092
"420"	"DDIT4"	"10"	72273918	72276036	54541
"733"	"ECD"	"10"	73134523	73168095	11319
"519"	"MRPS16"	"10"	73248842	73252693	51021
"811"	"ANXA7"	"10"	73375100	73414085	310
"763"	"KAT6B"	"10"	74826412	75032622	23522
"839"	"ZMIZ1"	"10"	79069034	79316528	57178
"456"	"FAS"	"10"	88990558	89017061	355
"918"	"LIPA"	"10"	89213568	89252039	3988
"181"	"IDE"	"10"	92451683	92574095	3416
"549"	"PDLIM1"	"10"	95237567	95291148	9124
"367"	"TM9SF3"	"10"	96518109	96587052	56889
"553"	"RRP12"	"10"	97356700	97401370	23223
"138"	"PGAM1"	"10"	97427676	97433444	5223
"759"	"NOLC1"	"10"	102152175	102163871	9221
"495"	"NFKB2"	"10"	102394109	102402529	4791
"667"	"XPNPEP1"	"10"	109864765	109923246	7511
"397"	"SMNDC1"	"10"	110293039	110304949	10285
"835"	"SMC3"	"10"	110567690	110604634	9126
"493"	"ZDHHC6"	"10"	112430289	112446959	64429
"302"	"CASP7"	"10"	113679161	113730909	840
"145"	"RAB11FIP2"	"10"	118004915	118046884	22841
"846"	"BAG3"	"10"	119651369	119677817	9531
"400"	"FGFR2"	"10"	121478329	121598458	2263
"647"	"HTRA1"	"10"	122461524	122514908	5654
"842"	"BNIP3"	"10"	131967682	131982013	664
"327"	"SIRT3"	"11"	215029	236362	23410
"149"	"RNH1"	"11"	494511	506821	6050
"855"	"TSPAN4"	"11"	842823	867116	7106
"702"	"CTSD"	"11"	1752751	1763992	1509
"144"	"ARFIP2"	"11"	6474682	6481479	23647
"113"	"RRP8"	"11"	6599913	6603650	23378
"706"	"ILK"	"11"	6603707	6610874	3611
"867"	"NUCB2"	"11"	17276717	17331865	4925
"760"	"CAT"	"11"	34438924	34472060	847
"797"	"PDHX"	"11"	34916129	34996128	8050
"806"	"CD44"	"11"	35138869	35232402	960
"374"	"ARHGAP1"	"11"	46677074	46700665	392
"434"	"PACSIN3"	"11"	47177521	47185881	29763
"896"	"DDB2"	"11"	47214941	47239218	1643
"853"	"UBE2L6"	"11"	57551654	57568330	9246
"598"	"CTNND1"	"11"	57761761	57819180	1500
"368"	"CCDC86"	"11"	60841955	60851088	79080
"679"	"TMEM109"	"11"	60913898	60923443	79073
"124"	"EML3"	"11"	62602218	62612765	256364
"890"	"PLCB3"	"11"	64251522	64269452	5331
"140"	"BAD"	"11"	64269827	64284704	572
"746"	"CAPN1"	"11"	65181832	65212006	823
"895"	"CCDC85B"	"11"	65890403	65891635	11007
"972"	"FOSL1"	"11"	65892135	65900526	8061
"576"	"DRAP1"	"11"	65919256	65921577	10589
"568"	"B4GAT1"	"11"	66345371	66347690	11041
"971"	"POLD4"	"11"	67350764	67353596	57804
"575"	"RAD9A"	"11"	67393304	67398412	5883
"104"	"IGHMBP2"	"11"	68903850	68940601	3508
"172"	"CCND1"	"11"	69641104	69654474	595
"800"	"CTTN"	"11"	70398505	70436584	2017
"741"	"GDPD5"	"11"	75434639	75525554	81544
"39"	"TSKU"	"11"	76783240	76798154	25987
"100"	"PAK1"	"11"	77322014	77474063	5058
"799"	"PRCP"	"11"	82822940	82900603	5547
"80"	"EED"	"11"	86244383	86278810	8726
"739"	"PRSS23"	"11"	86800239	86811231	11098
"899"	"CEP57"	"11"	95790460	95832693	9702
"90"	"BIRC2"	"11"	102347181	102378670	329
"660"	"MMP1"	"11"	102789909	102798235	4312
"133"	"SLC35F2"	"11"	107790990	107859188	54733
"897"	"DDX10"	"11"	108665024	108940930	1662
"663"	"ZW10"	"11"	113733182	113773763	9183
"913"	"SLC37A4"	"11"	119024350	119030906	2542
"578"	"HYOU1"	"11"	119044184	119057246	10525
"88"	"C2CD2L"	"11"	119107349	119117124	9854
"24"	"ARHGEF12"	"11"	120336908	120489936	23365
"46"	"HSPA8"	"11"	123057491	123062335	3312
"700"	"CHEK1"	"11"	125626228	125657147	1111
"294"	"ETS1"	"11"	128458760	128587558	2113
"395"	"KDM5A"	"12"	280056	389455	5927
"627"	"FKBP4"	"12"	2794941	2805421	2288
"677"	"NCAPD2"	"12"	6494131	6531966	9918
"976"	"GAPDH"	"12"	6534404	6538375	2597
"246"	"COPS7A"	"12"	6723983	6731875	50813
"870"	"PTPN6"	"12"	6946576	6961316	5777
"970"	"CDKN1B"	"12"	12717269	12722382	1027
"960"	"HEBP1"	"12"	12974864	13000309	50865
"820"	"DERA"	"12"	15911171	16037381	51071
"342"	"GOLT1B"	"12"	21501764	21518403	51026
"516"	"C2CD5"	"12"	22448545	22544546	9847
"818"	"DNM1L"	"12"	32679199	32745650	10059
"6"	"ATF1"	"12"	50764005	50821160	466
"753"	"SLC11A2"	"12"	50979782	51026416	4891
"223"	"CDK2"	"12"	55966768	55972789	1017
"807"	"ERBB3"	"12"	56080107	56085617	2065
"358"	"PAN2"	"12"	56316222	56334053	9924
"617"	"TIMELESS"	"12"	56416372	56449465	8914
"512"	"CDK4"	"12"	57747726	57752447	1019
"497"	"TMEM5"	"12"	63779802	63809558	10329
"765"	"HMGA2"	"12"	65824459	65966291	8091
"772"	"FRS2"	"12"	69470348	69579791	10818
"427"	"RAB21"	"12"	71754862	71793476	23011
"643"	"DUSP6"	"12"	89347824	89352859	1848
"491"	"SOCS2"	"12"	93572525	93576745	8835
"813"	"TXNRD1"	"12"	104286681	104350307	7296
"260"	"WASHC4"	"12"	105107713	105169134	23325
"919"	"PWP1"	"12"	107686041	107713162	11137
"53"	"UBE3B"	"12"	109477622	109490722	89910
"109"	"TCTN1"	"12"	110614026	110649131	79600
"421"	"MAPKAPK5"	"12"	111842227	111893424	8550
"652"	"FBXO21"	"12"	117143779	117190495	23014
"905"	"RFC5"	"12"	118016660	118032237	5985
"174"	"PXN"	"12"	120210438	120250161	5829
"183"	"MLEC"	"12"	120688309	120701864	9761
"485"	"PSMD9"	"12"	121888730	121917865	5715
"726"	"CCDC92"	"12"	123936408	123972985	80212
"331"	"SCARB1"	"12"	124777627	124863973	949
"228"	"PXMP2"	"12"	132687605	132704991	5827
"299"	"ZMYM2"	"13"	19958669	20091845	7750
"649"	"WASF3"	"13"	26557702	26688946	10810
"440"	"CCNA1"	"13"	36432271	36442882	8900
"769"	"UFM1"	"13"	38349770	38363007	51569
"592"	"DNAJC15"	"13"	43023225	43109170	29103
"879"	"RB1"	"13"	48303746	48481890	5925
"351"	"TRIM13"	"13"	49997006	50018467	10206
"688"	"MYCBP2"	"13"	77044656	77327042	23077
"432"	"MBNL2"	"13"	97222295	97394120	10150
"334"	"TM9SF2"	"13"	99501373	99564048	9375
"642"	"COL4A1"	"13"	110148957	110307157	1282
"894"	"ANKRD10"	"13"	110892691	110915107	55608
"833"	"TFDP1"	"13"	113584740	113641473	7027
"803"	"UBR7"	"14"	321617	343777	55148
"715"	"PARP2"	"14"	20343613	20357904	10038
"318"	"PNP"	"14"	20469378	20478006	4860
"834"	"ABHD4"	"14"	22598237	22612359	63874
"192"	"OXA1L"	"14"	22766521	22771789	5018
"953"	"LRP10"	"14"	22871716	22881711	26020
"877"	"PCK2"	"14"	24094130	24100753	5106
"1"	"PSME1"	"14"	24136157	24138967	5720
"387"	"PSME2"	"14"	24143364	24146646	5721
"571"	"CHMP4A"	"14"	24209580	24213830	29082
"47"	"NFATC4"	"14"	24368019	24379606	4776
"884"	"EAPP"	"14"	34515928	34539737	55837
"79"	"SNX6"	"14"	34561092	34630183	58533
"655"	"PPP2R3C"	"14"	35085467	35122543	55012
"721"	"NFKBIA"	"14"	35401509	35404754	4792
"888"	"POLE2"	"14"	49643551	49688380	5427
"328"	"KLHDC2"	"14"	49768068	49783138	23588
"499"	"ATP5S"	"14"	50312328	50323025	27109
"802"	"PYGL"	"14"	50905216	50944530	5836
"428"	"ERO1A"	"14"	52639914	52695931	30001
"222"	"BMP4"	"14"	53949735	53956891	652
"480"	"CGRRF1"	"14"	54509868	54538616	10668
"242"	"MAPK1IP1L"	"14"	55051643	55070194	93487
"372"	"KTN1"	"14"	55580206	55684584	3895
"711"	"TIMM9"	"14"	58408651	58427614	26520
"96"	"DHRS7"	"14"	60144119	60169864	51635
"235"	"MNAT1"	"14"	60734740	60968680	4331
"425"	"PRKCH"	"14"	61321442	61550980	5583
"230"	"HIF1A"	"14"	61697621	61748259	3091
"112"	"PPP2R5E"	"14"	63373891	63543361	5529
"723"	"SYNE2"	"14"	63852964	64226451	23224
"940"	"ATP6V1D"	"14"	67337863	67360003	51382
"189"	"TMED10"	"14"	75131467	75176646	10972
"580"	"FOS"	"14"	75278777	75282234	2353
"139"	"TGFB3"	"14"	75958060	75983011	7043
"788"	"GSTZ1"	"14"	77320886	77331597	2954
"35"	"SPTLC2"	"14"	77505996	77616767	9517
"258"	"LGMN"	"14"	92703806	92748702	5641
"880"	"EVL"	"14"	99971474	100144236	51466
"411"	"MOK"	"14"	102228820	102305200	5891
"362"	"EIF5"	"14"	103334001	103345024	1983
"412"	"PPP1R13B"	"14"	103733750	103847590	23368
"102"	"AKT1"	"14"	104769349	104795743	207
"197"	"CDCA4"	"14"	105009572	105021088	55038
"437"	"MTA1"	"14"	105419848	105470720	9112
"665"	"TJP1"	"15"	1983495	2106621	7082
"314"	"BUB1B"	"15"	40161008	40221136	701
"507"	"PAK6"	"15"	40239796	40277487	56924
"272"	"CHAC1"	"15"	40953148	40956519	79094
"542"	"CHP1"	"15"	41231238	41281885	11261
"216"	"NUSAP1"	"15"	41332693	41381050	51203
"771"	"TP53BP1"	"15"	43407213	43493156	7158
"959"	"SQOR"	"15"	45634739	45691294	58472
"91"	"GABPB1"	"15"	50277191	50355408	2553
"363"	"GNB5"	"15"	52120925	52179965	10681
"320"	"ARPP19"	"15"	52547044	52569132	10776
"653"	"RAB27A"	"15"	55202965	55289815	5873
"305"	"PIGB"	"15"	55318934	55355648	9488
"626"	"ADAM10"	"15"	58595203	58749978	102
"780"	"CCNB2"	"15"	59105084	59125045	9133
"483"	"GTF2A2"	"15"	59638061	59657538	2958
"333"	"TPM1"	"15"	63042638	63066093	7168
"332"	"CLPX"	"15"	65148219	65185420	10845
"719"	"HACD3"	"15"	65530488	65578355	51495
"191"	"SMAD3"	"15"	67065856	67195195	4088
"92"	"MAP2K5"	"15"	67542682	67807117	5607
"914"	"LOXL1"	"15"	73926457	73952141	4016
"848"	"CSK"	"15"	74782083	74803198	1445
"827"	"TSPAN3"	"15"	77044017	77071228	10099
"454"	"WDR61"	"15"	78283235	78299726	80349
"151"	"FAH"	"15"	80152890	80186582	2184
"238"	"ARNT2"	"15"	80404349	80597936	9915
"348"	"HOMER2"	"15"	82848976	82952724	9455
"423"	"HDGFRP3"	"15"	83138051	83208018	50810
"484"	"PEX11A"	"15"	89681530	89690784	8800
"501"	"NGRN"	"15"	90265662	90272211	51335
"552"	"IQGAP1"	"15"	90388240	90502243	8826
"10"	"IGF1R"	"15"	98648538	98964530	3480
"588"	"AXIN1"	"16"	287439	352676	8312
"137"	"STUB1"	"16"	680110	682768	10273
"254"	"METRN"	"16"	715172	719655	79006
"202"	"NARFL"	"16"	729754	741038	64428
"158"	"JPT2"	"16"	1678276	1702072	90861
"492"	"SYNGR3"	"16"	1989944	1994275	9143
"783"	"RNPS1"	"16"	2253115	2268412	10921
"874"	"CCNF"	"16"	2429390	2458854	899
"482"	"AMDHD2"	"16"	2520344	2529731	51005
"622"	"KCTD5"	"16"	2682493	2709031	54442
"481"	"TRAP1"	"16"	3658036	3717597	10131
"18"	"DNAJA3"	"16"	4425804	4456774	9093
"448"	"PMM2"	"16"	8797812	8849337	5373
"175"	"USP7"	"16"	8892093	8936729	7874
"952"	"CCP110"	"16"	19523856	19553406	9738
"978"	"LYRM1"	"16"	20900665	20925011	57149
"868"	"COG7"	"16"	23388492	23453191	91949
"915"	"PLK1"	"16"	23678771	23690367	5347
"515"	"IL4R"	"16"	27313908	27364778	3566
"904"	"MVP"	"16"	29830514	29848039	9961
"286"	"ALDOA"	"16"	30053089	30070420	226
"664"	"CORO1A"	"16"	30183409	30189076	11151
"61"	"PHKG2"	"16"	30748298	30761181	5261
"889"	"STX4"	"16"	31033094	31040167	6810
"574"	"ITFG1"	"16"	47154387	47461274	81533
"177"	"PHKB"	"16"	47461298	47701523	5257
"620"	"MMP2"	"16"	55479168	55506691	4313
"683"	"NUP93"	"16"	56783455	56844949	9688
"376"	"HERPUD1"	"16"	56932089	56943881	9709
"866"	"CIAPIN1"	"16"	57428168	57447528	57019
"697"	"ADGRG1"	"16"	57628225	57665039	9289
"214"	"CSNK2A2"	"16"	58157907	58197878	1459
"522"	"NOL3"	"16"	67173852	67175737	8996
"308"	"ACD"	"16"	67657511	67660815	65057
"557"	"THAP11"	"16"	67842309	67844195	57215
"961"	"PSMB10"	"16"	67934503	67936877	5699
"58"	"NFATC3"	"16"	68085365	68229259	4775
"684"	"PLA2G15"	"16"	68245343	68261058	23659
"926"	"CDH3"	"16"	68644835	68699067	1001
"692"	"AARS"	"16"	70252393	70289509	16
"67"	"COG4"	"16"	70480568	70523554	25839
"335"	"TXNL4B"	"16"	72084856	72094316	54957
"240"	"ADAT1"	"16"	75596878	75623323	23536
"841"	"TERF2IP"	"16"	75647736	75657443	54386
"382"	"ATMIN"	"16"	81035852	81047346	23300
"267"	"MBTPS1"	"16"	84053760	84116943	8720
"731"	"TIMM22"	"17"	36139	41430	29928
"878"	"FAM57A"	"17"	732545	742968	79850
"510"	"GLOD4"	"17"	759308	782331	51031
"30"	"CRK"	"17"	1421352	1456267	1398
"326"	"RPA1"	"17"	1829978	1899554	6117
"424"	"PAFAH1B1"	"17"	2593628	2685615	5048
"494"	"ITGAE"	"17"	3714624	3801243	3682
"284"	"RNF167"	"17"	4940007	4945223	26001
"241"	"SPAG7"	"17"	4959225	4967837	9552
"338"	"NUP88"	"17"	5384832	5419739	4927
"761"	"KIAA0753"	"17"	6578324	6640927	9851
"212"	"PLSCR3"	"17"	7389727	7394843	57048
"551"	"TP53"	"17"	7668401	7687550	7157
"558"	"AURKB"	"17"	8204730	8210626	9212
"696"	"ELAC2"	"17"	12991611	13018064	60528
"513"	"EPN2"	"17"	19237376	19336715	22905
"187"	"USP22"	"17"	20999592	21043039	23326
"525"	"TMEM97"	"17"	28319094	28328685	27346
"850"	"ALDOC"	"17"	28573114	28576933	230
"219"	"KIAA0100"	"17"	28614439	28645159	9703
"822"	"BLMH"	"17"	30248194	30292166	642
"213"	"SUZ12"	"17"	31937009	32001045	23512
"570"	"CDK5R1"	"17"	32487086	32491253	8851
"208"	"CCL2"	"17"	34255276	34257201	6347
"762"	"DUSP14"	"17"	37489844	37513486	11072
"686"	"PIP4K2B"	"17"	38765690	38799905	8396
"604"	"ERBB2"	"17"	39699977	39728662	2064
"804"	"GRB7"	"17"	39737900	39747285	2886
"180"	"CASC3"	"17"	40140253	40172178	22794
"83"	"WIPF2"	"17"	40219321	40282187	147179
"563"	"TOP2A"	"17"	40388520	40417950	7153
"36"	"ACLY"	"17"	41866925	41919019	47
"288"	"STAT5B"	"17"	42199176	42276406	6777
"359"	"STAT3"	"17"	42313324	42388495	6774
"378"	"COASY"	"17"	42562073	42566281	80347
"774"	"BECN1"	"17"	42810131	42823879	8678
"923"	"VAT1"	"17"	43014604	43022442	10493
"57"	"BRCA1"	"17"	43044294	43125323	672
"408"	"DUSP3"	"17"	43766120	43779000	1845
"504"	"GRN"	"17"	44345085	44353106	2896
"312"	"GPATCH8"	"17"	44395276	44503602	23131
"142"	"NMT1"	"17"	45061298	45109014	4836
"921"	"PLEKHM1"	"17"	45435899	45490780	9842
"337"	"PRR15L"	"17"	47951967	47957877	79170
"931"	"SNX11"	"17"	48107532	48123601	29916
"405"	"SLC35B1"	"17"	49700933	49707951	10237
"546"	"COL1A1"	"17"	50184095	50201639	1277
"38"	"RAD51C"	"17"	58692572	58734342	5889
"280"	"CLTC"	"17"	59619688	59696956	1213
"200"	"APPBP2"	"17"	60443148	60526240	10513
"17"	"TBX2"	"17"	61399895	61409466	6909
"259"	"TLK2"	"17"	62478767	62615480	11011
"644"	"CYB561"	"17"	63432303	63446361	1534
"204"	"DDX42"	"17"	63774188	63819317	11325
"591"	"SMARCD2"	"17"	63832080	63842991	6603
"25"	"POLG2"	"17"	64477784	64497066	11232
"506"	"NUP85"	"17"	75205449	75235759	79902
"339"	"ST6GALNAC2"	"17"	76565378	76586063	10610
"130"	"JMJD6"	"17"	76718442	76726799	23210
"126"	"BIRC5"	"17"	78214195	78225635	332
"796"	"CYTH1"	"17"	78674046	78782342	9267
"407"	"TIMP2"	"17"	78852976	78925390	7077
"346"	"CANT1"	"17"	78991715	79009817	124583
"819"	"GAA"	"17"	80101525	80102737	2548
"300"	"CHMP6"	"17"	80991840	81000133	79643
"316"	"MRPL12"	"17"	81703369	81707526	6182
"967"	"PYCR1"	"17"	81932385	81937239	5831
"609"	"RFNG"	"17"	82047901	82051774	5986
"199"	"USP14"	"18"	158482	213739	9097
"356"	"ENOSF1"	"18"	670323	712662	55556
"901"	"RAB31"	"18"	9708230	9862556	11031
"871"	"TUBB6"	"18"	12307668	12326616	84617
"932"	"RNMT"	"18"	13726659	13764556	8731
"943"	"NPC1"	"18"	23531498	23586617	4864
"114"	"LAMA3"	"18"	23689442	23796153	3909
"670"	"DSG2"	"18"	31498003	31549007	1829
"115"	"PIK3C3"	"18"	41955197	42081482	5289
"703"	"ME2"	"18"	50879061	50949792	4200
"159"	"WDR7"	"18"	56651384	57029805	23335
"538"	"MALT1"	"18"	58671385	58750139	10892
"166"	"PMAIP1"	"18"	59899959	59904306	5366
"844"	"BCL2"	"18"	63123345	63319380	596
"470"	"CNDP2"	"18"	74496264	74523454	55748
"385"	"MBOAT7"	"19"	148183	164679	79143
"734"	"CIRBP"	"19"	1269267	1273172	1153
"69"	"PLEKHJ1"	"19"	2233149	2236353	55111
"564"	"GADD45B"	"19"	2476124	2478259	4616
"849"	"GNA11"	"19"	3094409	3124002	2767
"770"	"GNA15"	"19"	3136031	3163769	2769
"632"	"HMG20B"	"19"	3572944	3579083	10362
"373"	"TBXA2R"	"19"	3594505	3606833	6915
"939"	"FSD1"	"19"	4304593	4323846	79187
"446"	"STAP2"	"19"	4324042	4338850	55620
"217"	"TICAM1"	"19"	4815923	4831742	148022
"582"	"MCOLN1"	"19"	7522609	7534009	57192
"232"	"STXBP2"	"19"	7637100	7647874	6813
"778"	"ELAVL1"	"19"	7958572	8005645	1994
"968"	"CD320"	"19"	8302126	8308356	51293
"452"	"FBXL12"	"19"	9810266	9819103	54850
"634"	"PIN1"	"19"	9835206	9849689	5300
"650"	"DNMT1"	"19"	10133343	10195135	1786
"681"	"ICAM1"	"19"	10270840	10286615	3383
"54"	"ICAM3"	"19"	10333775	10339834	3385
"830"	"KEAP1"	"19"	10486119	10502805	9817
"801"	"SMARCA4"	"19"	10984151	11062282	6597
"718"	"MAN2B1"	"19"	12646507	12666777	4125
"603"	"HOOK2"	"19"	12763002	12775620	29911
"975"	"PRKACA"	"19"	14091694	14114188	5566
"674"	"ADGRE5"	"19"	14381143	14408725	976
"253"	"DNAJB1"	"19"	14514763	14529322	3337
"160"	"AKAP8"	"19"	15353520	15379801	10270
"66"	"AKAP8L"	"19"	15380047	15419121	26993
"190"	"CHERP"	"19"	16517888	16542452	10523
"545"	"NR2F6"	"19"	17231884	17245342	2063
"500"	"FCHO1"	"19"	17751476	17788568	23149
"377"	"LPAR2"	"19"	19623655	19628230	9170
"464"	"POP4"	"19"	29606262	29617255	10775
"321"	"CEBPA"	"19"	33299933	33302564	1050
"567"	"KIAA0355"	"19"	34254550	34355566	9710
"391"	"LSR"	"19"	35248655	35267964	51599
"63"	"POLR2I"	"19"	36113708	36115304	5438
"205"	"ECH1"	"19"	38815421	38831857	1891
"179"	"NFKBIB"	"19"	38899699	38908894	4793
"74"	"PAK4"	"19"	39125779	39179406	10298
"97"	"PAF1"	"19"	39385629	39391195	54623
"635"	"ZFP36"	"19"	39406846	39409412	7538
"947"	"PAFAH1B3"	"19"	42297032	42302800	5050
"430"	"APOE"	"19"	44905748	44909395	348
"691"	"RELB"	"19"	45001448	45038198	5971
"195"	"TRAPPC6A"	"19"	45162927	45178243	79090
"323"	"RTN2"	"19"	45485287	45493245	6253
"410"	"CALM3"	"19"	46601073	46610782	808
"360"	"LIG1"	"19"	48115444	48170603	3978
"165"	"GRWD1"	"19"	48445772	48453907	83743
"341"	"FUT1"	"19"	48748010	48753660	2523
"468"	"BAX"	"19"	48954859	48961798	581
"77"	"PIH1D1"	"19"	49446292	49451858	55011
"176"	"NOSIP"	"19"	49555467	49580572	51070
